source,datetime,location,report,status,tags
Neighborhood Watch - Oregun,2025-08-19 03:09:36,Secretariat Bus Stop,Neighborhood Watch - Oregun notes traffic accident around Secretariat Bus Stop. Area under dispatched.,Dispatched,"traffic,protest,medical,road_closure"
LASTMA,2025-08-29 21:45:12,Awolowo Way,Alert from LASTMA: flooded underpass reported near Awolowo Way; responders en route.,Unresolved,"traffic,protest,road_closure"
Neighborhood Watch - Ikeja GRA,2025-07-30 00:33:27,Ikeja GRA,Neighborhood Watch - Ikeja GRA log: medical emergency at Ikeja GRA; crowd control and medical triage.,Monitoring,"suspicious_vehicle,burglary_attempt,accident"
Neighborhood Watch - Oregun,2025-09-10 23:14:59,Computer Village,Neighborhood Watch - Oregun notes attempted break-in around Computer Village. Area under reported.,Reported,"flooding,medical,burglary_attempt"
LASTMA,2025-08-29 21:30:17,Lonlo,LASTMA log: minor fire at Lonlo; crowd control and police notification.,Unresolved,"suspicious_vehicle,protest"
Neighborhood Watch - Oregun,2025-08-27 17:22:49,Computer Village,Neighborhood Watch - Oregun notes traffic accident around Computer Village. Area under ongoing.,Ongoing,"medical,road_closure"
Neighborhood Watch - Allen,2025-09-02 09:55:18,Lonlo,Neighborhood Watch - Allen notes medical emergency around Lonlo. Area under monitoring.,Monitoring,"traffic,suspicious_vehicle,fire,road_closure"
Neighborhood Watch - Oregun,2025-09-15 13:01:50,Ipodo,Neighborhood Watch - Oregun log: petty theft in market at Ipodo; crowd control and police notification.,Unresolved,"vigilante,road_closure"
Neighborhood Watch - Ikeja GRA,2025-08-14 12:25:13,Awolowo Way,Neighborhood Watch - Ikeja GRA responded to road blockage from protest at Awolowo Way. Situation: resolved.,Resolved,"fire,burglary_attempt,road_closure,accident"
LASTMA,2025-08-22 04:25:59,Adekunle Fajuyi Way,LASTMA responded to traffic accident at Adekunle Fajuyi Way. Situation: monitoring.,Monitoring,"protest,fire,medical"
Neighborhood Watch - Ikeja GRA,2025-08-08 10:12:16,Alausa,Neighborhood Watch - Ikeja GRA responded to hit-and-run at Alausa. Situation: reported.,Reported,"vigilante,burglary_attempt,fire,accident"
Neighborhood Watch - Ikeja GRA,2025-09-18 04:18:50,Oba Akran,Alert from Neighborhood Watch - Ikeja GRA: hit-and-run reported near Oba Akran; responders en route.,Resolved,"protest,medical,assault"
LASTMA,2025-08-21 10:00:50,Mobolaji Bank Anthony Way,LASTMA log: suspicious vehicle circling estate at Mobolaji Bank Anthony Way; crowd control and fire suppression.,Reported,"traffic,protest,assault"
Neighborhood Watch - Oregun,2025-08-16 06:10:45,Adeniyi Jones,Neighborhood Watch - Oregun log: attempted break-in at Adeniyi Jones; crowd control and medical triage.,Ongoing,"suspicious_vehicle,fire,road_closure"
LASTMA,2025-08-31 03:21:22,Ipodo,Alert from LASTMA: suspicious vehicle circling estate reported near Ipodo; responders en route.,Reported,"flooding,medical,road_closure"
Neighborhood Watch - Allen,2025-08-13 13:11:04,Oba Akran,Neighborhood Watch - Allen responded to traffic accident at Oba Akran. Situation: unresolved.,Unresolved,"flooding,suspicious_vehicle,vigilante,medical"
LASEMA,2025-09-16 11:27:43,Adeniyi Jones,Alert from LASEMA: hit-and-run reported near Adeniyi Jones; responders en route.,Dispatched,"traffic,flooding,road_closure"
LASTMA,2025-08-22 16:44:52,Secretariat Bus Stop,LASTMA log: traffic accident at Secretariat Bus Stop; crowd control and medical triage.,Ongoing,"flooding,traffic,vigilante,burglary_attempt"
LASEMA,2025-08-18 10:36:26,Ikeja GRA,LASEMA log: flooded underpass at Ikeja GRA; crowd control and police notification.,Resolved,"suspicious_vehicle,medical,accident"
Neighborhood Watch - Ikeja GRA,2025-08-24 08:11:30,Ipodo,Alert from Neighborhood Watch - Ikeja GRA: traffic accident reported near Ipodo; responders en route.,Reported,"flooding,suspicious_vehicle"
Neighborhood Watch - Allen,2025-07-28 04:36:25,Adeniyi Jones,Neighborhood Watch - Allen log: petty theft in market at Adeniyi Jones; crowd control and medical triage.,Unresolved,"traffic,assault"
LASTMA,2025-09-16 22:10:44,Adeniyi Jones,LASTMA notes suspicious vehicle circling estate around Adeniyi Jones. Area under resolved.,Resolved,"protest,assault"
Neighborhood Watch - Allen,2025-08-13 22:57:09,Adekunle Fajuyi Way,Neighborhood Watch - Allen responded to medical emergency at Adekunle Fajuyi Way. Situation: reported.,Reported,"suspicious_vehicle,vigilante,medical"
Neighborhood Watch - Oregun,2025-09-08 00:06:19,Adeniyi Jones,Neighborhood Watch - Oregun responded to traffic accident at Adeniyi Jones. Situation: dispatched.,Dispatched,"flooding,fire,assault"
Neighborhood Watch - Ikeja GRA,2025-08-03 17:29:34,Adekunle Fajuyi Way,Neighborhood Watch - Ikeja GRA notes minor fire around Adekunle Fajuyi Way. Area under resolved.,Resolved,"flooding,fire"
Neighborhood Watch - Oregun,2025-08-28 17:36:11,Adekunle Fajuyi Way,Neighborhood Watch - Oregun notes hit-and-run around Adekunle Fajuyi Way. Area under ongoing.,Ongoing,"suspicious_vehicle,medical,burglary_attempt,accident"
Neighborhood Watch - Oregun,2025-09-11 20:59:47,Secretariat Bus Stop,Neighborhood Watch - Oregun log: medical emergency at Secretariat Bus Stop; crowd control and police notification.,Resolved,"flooding,suspicious_vehicle"
Neighborhood Watch - Oregun,2025-08-12 11:29:06,Adeniyi Jones,Neighborhood Watch - Oregun notes flooded underpass around Adeniyi Jones. Area under reported.,Reported,"assault,road_closure,accident"
Neighborhood Watch - Ikeja GRA,2025-08-12 08:14:13,Ikeja Along,Neighborhood Watch - Ikeja GRA log: attempted break-in at Ikeja Along; crowd control and diversion setup.,Resolved,"protest,assault"
Neighborhood Watch - Oregun,2025-09-06 02:20:53,Ikeja Along,Alert from Neighborhood Watch - Oregun: medical emergency reported near Ikeja Along; responders en route.,Ongoing,"flooding,assault,accident"
LASEMA,2025-09-15 02:24:50,Lonlo,Alert from LASEMA: minor fire reported near Lonlo; responders en route.,Unresolved,"medical,vigilante,assault,burglary_attempt"
Neighborhood Watch - Allen,2025-09-19 07:03:28,Oba Akran,Alert from Neighborhood Watch - Allen: flooded underpass reported near Oba Akran; responders en route.,Dispatched,"protest,road_closure,accident"
Neighborhood Watch - Oregun,2025-08-24 09:39:52,Alausa,Neighborhood Watch - Oregun notes suspicious vehicle circling estate around Alausa. Area under unresolved.,Unresolved,"suspicious_vehicle,protest,vigilante"
LASTMA,2025-09-11 18:22:24,Opebi,LASTMA notes collapsed kiosk around Opebi. Area under dispatched.,Dispatched,"vigilante,burglary_attempt,accident"
Neighborhood Watch - Ikeja GRA,2025-08-29 21:04:54,Opebi,Neighborhood Watch - Ikeja GRA responded to attempted break-in at Opebi. Situation: resolved.,Resolved,"protest,fire"
Neighborhood Watch - Allen,2025-08-04 01:11:36,Ikeja GRA,Alert from Neighborhood Watch - Allen: attempted break-in reported near Ikeja GRA; responders en route.,Resolved,"vigilante,burglary_attempt,road_closure"
Neighborhood Watch - Allen,2025-08-28 16:26:41,Opebi,Neighborhood Watch - Allen responded to medical emergency at Opebi. Situation: reported.,Reported,"traffic,suspicious_vehicle"
LASEMA,2025-07-27 13:53:40,Ipodo,Alert from LASEMA: assault on motorist reported near Ipodo; responders en route.,Reported,"road_closure,accident"
Neighborhood Watch - Ikeja GRA,2025-08-07 18:16:52,Ikeja Along,Neighborhood Watch - Ikeja GRA notes hit-and-run around Ikeja Along. Area under resolved.,Resolved,"traffic,road_closure"
LASTMA,2025-09-19 04:58:47,Alausa,LASTMA log: assault on motorist at Alausa; crowd control and tow truck requested.,Reported,"assault,burglary_attempt"
LASTMA,2025-08-22 04:35:45,Opebi,LASTMA responded to suspicious vehicle circling estate at Opebi. Situation: reported.,Reported,"vigilante,burglary_attempt,assault,accident"
Neighborhood Watch - Allen,2025-09-06 05:43:20,Secretariat Bus Stop,Neighborhood Watch - Allen log: petty theft in market at Secretariat Bus Stop; crowd control and fire suppression.,Ongoing,"flooding,protest,vigilante"
LASEMA,2025-09-04 02:30:02,Oregun,LASEMA notes flooded underpass around Oregun. Area under dispatched.,Dispatched,"protest,fire,accident"
Neighborhood Watch - Oregun,2025-07-31 23:20:43,Alausa,Neighborhood Watch - Oregun log: road blockage from protest at Alausa; crowd control and diversion setup.,Ongoing,"traffic,protest"
Neighborhood Watch - Allen,2025-07-26 19:02:39,Adekunle Fajuyi Way,Neighborhood Watch - Allen log: medical emergency at Adekunle Fajuyi Way; crowd control and fire suppression.,Resolved,"protest,vigilante,burglary_attempt"
Neighborhood Watch - Ikeja GRA,2025-08-16 21:41:01,Ikeja Along,Neighborhood Watch - Ikeja GRA notes collapsed kiosk around Ikeja Along. Area under ongoing.,Ongoing,"suspicious_vehicle,protest,burglary_attempt,assault"
Neighborhood Watch - Ikeja GRA,2025-09-06 14:26:31,Adekunle Fajuyi Way,Neighborhood Watch - Ikeja GRA log: petty theft in market at Adekunle Fajuyi Way; crowd control and fire suppression.,Monitoring,"vigilante,assault"
Neighborhood Watch - Ikeja GRA,2025-09-05 08:59:50,Alausa,Neighborhood Watch - Ikeja GRA log: minor fire at Alausa; crowd control and tow truck requested.,Unresolved,"flooding,road_closure,accident"
LASEMA,2025-08-27 08:50:39,Awolowo Way,LASEMA responded to assault on motorist at Awolowo Way. Situation: reported.,Reported,"traffic,suspicious_vehicle,vigilante,road_closure"
Neighborhood Watch - Allen,2025-07-22 21:40:52,Allen Avenue,Neighborhood Watch - Allen log: traffic accident at Allen Avenue; crowd control and medical triage.,Ongoing,"traffic,fire,assault,burglary_attempt"
